"Topsoil foraging","Country","Steep, Deep, Cheap","Country"
"PI377236","India","PI377262","India"
"PI363380","India","PI377193","India"
"PI426149","India","PI425575","Korea"
"PI425509","India","PI363459","India"
"PI377233","India","PI363820","India"
"PI377262","India","PI363391","India"
"PI376951","India","PI385297","India"
"PI363635","India","PI362307","Korea"
"PI425610","Afghanistan","PI363380","India"
"PI425385","India","PI363484","India"
"PI363271","India","PI363271","India"
