"Topsoil foraging","Country","Steep, Deep, Cheap","Country"
"PI425045","Philippines","PI425544","Korea"
"PI264686","Philippines","PI377081","Afghanistan"
"PI363362","India","PI426039","Australia"
"PI425552","Korea","PI426026","Thailand"
"PI425240","Philippines","PI376856","Thailand"
"PI362316","Korea","PI425423","India"
"PI425544","Korea","PI425552","Korea"
"PI363324","India","PI363778","India"
"PI425814","Korea","PI363781","India"
"PI271401","India","PI425551","Korea"
