"Topsoil foraging","Country","Steep, Deep, Cheap","Country"
"PI425045","Philippines","PI363204",""
"PI264686","Philippines","PI264686","Philippines"
"PI363362","India","PI425271","Pakistan"
"PI425552","Korea","PI425551","Korea"
"PI425240","Philippines","PI369768","Philippines"
"PI362316","Korea","PI425580","Korea"
"PI425544","Korea","PI425160","Australia"
"PI363324","India","PI377231","India"
"PI425814","Korea","PI425485","India"
"PI271401","India","PI425593",""
