"Trait","Mean","Median","Min","Max","SD","CV","H2.cullis"
"TRL",99.96,98.77,78.89,137.38,10.34,0.1,0.23
"PRL",34.63,34.66,31.65,36.55,0.73,0.02,0.13
"LRL",67.79,66.47,48.1,104.35,9.84,0.15,0.25
"MSL",2.16,2.06,1.2,3.93,0.56,0.26,0.41
"LSLPL",0.83,0.83,0.82,0.85,0,0,0.02
"MAX",6.08,6.04,4.8,7.75,0.53,0.09,0.18
"LED",2.29,2.28,1.59,3.13,0.26,0.11,0.29
"PER",180.18,180.14,166.1,195.98,5.02,0.03,0.08
"DIA",0.19,0.19,0.19,0.19,0,0,NA
"VOL",126.28,126.14,124.63,129.78,0.81,0.01,0.01
"SurfaceArea",19.75,19.74,19.07,20.54,0.23,0.01,0.04
"TRLUpper",68.64,67.99,48.15,94.51,8.61,0.13,0.25
"TRLLower",26.87,26.87,26.87,26.87,0,0,NA
"CM",0.2,0.2,0.2,0.2,0,0,NA
"CMT",0.17,0.17,0.17,0.17,0,0,NA
"CMM",0.39,0.39,0.39,0.39,0,0,NA
"CMB",0.99,0.99,0.99,0.99,0,0,0.05
"CP",0.32,0.32,0.31,0.34,0,0.01,0.08
"CPT",0.21,0.21,0.21,0.21,0,0,NA
"CPM",0.42,0.42,0.42,0.42,0,0,NA
"CPB",0.99,0.99,0.99,0.99,0,0,0.05
"CVA",193.16,191.49,151,255.11,19.76,0.1,0.2
"DEP",31.64,31.65,30.59,32.24,0.22,0.01,0.05
"WID",11.4,11.33,8.96,15.27,1.17,0.1,0.24
"NWA",1.22,1.21,0.98,1.64,0.12,0.1,0.21
"LRB",100.76,100.75,99.35,101.94,0.38,0,0.02
"NLR",42.58,42.58,42.58,42.58,0,0,0
"IRB",36.42,36.42,36.42,36.42,0,0,NA
"TRArea",13.01,12.84,10.32,18.61,1.37,0.11,0.22
"TRAUpper",8.84,8.64,5.72,13.72,1.43,0.16,0.28
"TRALower",3.6,3.6,3.6,3.6,0,0,NA
"RHZO",2056.52,2042.77,1714.91,2635.95,155.54,0.08,0.18
"SOL",0.01,0.01,0.01,0.01,0,0.07,0.28
"SOL2",140.43,140.14,131.53,151.08,2.84,0.02,0.08
"LRA",48.84,48.79,46.21,51.14,0.74,0.02,0.09
"ImageFlag",1,1,1,1,0,0,NA
