"PI","Entry","Country","Day","TRL","PRL","LRL","MSL","LSLPL","MAX","LED","PER","DIA","VOL","SurfaceArea","TRLUpper","TRLLower","CM","CMT","CMM","CMB","CP","CPT","CPM","CPB","CVA","DEP","WID","NWA","LRB","NLR","IRB","TRArea","TRAUpper","TRALower","RHZO","SOL","SOL2","LRA","ImageFlag","TRL_GR","SDW","RDW","RSR","TDW"
"ACHarosprout",1,NA,12,104.79468852704,34.8203851613191,71.7698305979173,2.40214679608568,0.833769616136276,6.25537736439338,2.81765354668861,184.199663437872,0.188753953309324,126.700033232113,19.9010331682513,75.5985216561449,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992114450315479,0.321642349341411,0.209373085976097,0.42010576805581,0.992113414797089,207.960248476893,31.7171187504385,12.4399463194036,1.2886995389601,100.581188142497,42.5753698092667,36.4189021242256,13.58787631554,9.8248677844152,3.60278112146262,2162.85800949375,0.00657637691050373,143.487962740757,49.1888747273349,0.99960251539206,NA,NA,NA,NA,NA
"AVMU09701",374,"Taiwan",12,109.274594608788,34.9347658400625,77.1731886496609,2.21478276078842,0.835683159559791,6.57231434057228,2.19621989611735,183.749530833791,0.188753953309324,126.76606459083,19.8166158796343,74.4669399487683,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992102903742742,0.327846225154177,0.209373085976097,0.42010576805581,0.992101062519505,198.389284930408,31.6519322568629,11.8677172750138,1.30719096828493,101.271772945058,42.5753698092679,36.4189021242256,14.262831618619,9.98480869947359,3.60278112146262,2173.98363913608,0.00715763804940616,139.185642410307,48.9059007178747,0.99960251539206,NA,NA,NA,NA,NA
"Lincon",4,"United States",12,102.774934537834,35.4785528498894,67.8428633664234,1.84018828390664,0.835959704298496,5.89378087057868,2.28405025494517,182.674252846796,0.188753953309324,127.039811425718,20.3998625307951,70.2748140507668,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992158881630697,0.322804807346413,0.209373085976097,0.42010576805581,0.992154705796594,200.470633205578,31.850827518352,11.4130674508293,1.25885993177725,101.115195272543,42.5753698092683,36.4189021242256,14.0021147861002,9.58687636490932,3.60278112146262,2091.65050615924,0.0067529201467039,142.205824819979,48.2715946733621,0.99960251539206,NA,NA,NA,NA,NA
"P1368276",137,NA,12,97.3728249719543,34.0059799490424,65.1478521987165,1.5421040025999,0.826506058594799,5.97646300741118,2.02207280850808,179.034536937861,0.188753953309324,126.612792514409,19.8623976702231,65.8543747838815,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.991936338739684,0.326925229467358,0.209373085976097,0.42010576805581,0.99194649301648,183.266887730939,31.4250060246138,10.5913367090037,1.19542697975451,100.704948448841,42.5753698092654,36.4189021242256,13.0695804714507,8.60824142500619,3.60278112146262,2017.61776380288,0.00694308544328715,136.141757353333,49.6077546621149,0.99960251539206,NA,NA,NA,NA,NA
"PI163110",5,"India",12,100.5319903444,34.0508773387079,69.4252349380351,2.1445481135955,0.835983950688894,6.33983449476711,2.479580923645,181.422206794365,0.188753953309324,127.403390606265,19.7293653426056,70.3620002178853,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992047410276833,0.324403818455071,0.209373085976097,0.42010576805581,0.992050242511693,194.95119229454,31.4719309274829,12.2358014024744,1.21499186279054,100.733853823774,42.5753698092668,36.4189021242256,12.7316768449854,8.69900285786981,3.60278112146262,2054.3691289156,0.00656406500921632,142.213469155769,47.8815418824136,0.99960251539206,NA,NA,NA,NA,NA
"PI164770",7,"India",12,94.0506803204206,33.7392258503376,62.0784350253069,1.84889386268997,0.828965146149799,5.69556547526665,2.19817568264786,177.413848899402,0.188753953309324,126.339894888048,19.7530033525571,65.1909147266795,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992123861129202,0.318171522083744,0.209373085976097,0.42010576805581,0.992121316657492,193.184845288419,31.3518949374856,11.1549025874392,1.16093354128341,100.599527334253,42.5753698092657,36.4189021242256,12.7177589070858,8.53005558806162,3.60278112146262,1979.52891338492,0.00689173379373049,142.406169330267,49.0553565114539,0.99960251539206,NA,NA,NA,NA,NA
"PI179703",9,"India",12,96.4020452473038,34.4460289009766,67.9649480385924,2.89753906903024,0.822366316650944,5.59998617261467,2.63607475077528,179.304792737615,0.188753953309324,125.853061241418,19.478319745466,68.5727168724748,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992084924473364,0.31541621066454,0.209373085976097,0.42010576805581,0.992084977381103,225.619741603632,31.6057407101891,14.2177087554289,1.19233848538333,100.042909495222,42.5753698092652,36.4189021242256,12.7212799737039,8.83686158639119,3.60278112146262,2010.77372602679,0.00570993844078167,145.819332853379,48.8895579173155,0.99960251539206,NA,NA,NA,NA,NA
"PI183936",11,"India",12,83.7930235910507,33.8907783734012,52.0108585629938,1.44436236308129,0.832271585101985,5.28724844309172,2.10321146069817,171.08819347696,0.188753953309324,124.62522744379,19.3193999682522,54.9584767888879,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992004578438266,0.321368451176423,0.209373085976097,0.42010576805581,0.992008248255488,160.417393429829,31.3530490067536,9.60860503306393,1.02782836042025,101.080902113075,42.5753698092655,36.4189021242256,10.3206641569911,6.34724888335631,3.60278112146262,1816.53508813049,0.00744162718576735,137.535381859162,48.3640779310199,0.99960251539206,NA,NA,NA,NA,NA
"PI201874",14,"Iran",12,105.046606164336,35.113353110352,72.2232509160601,2.00164602345448,0.837822888685215,6.31641623400045,2.62255102554776,183.156329326875,0.188753953309324,126.188208000952,19.7576285713218,75.1539066633457,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992180774046863,0.317635539743273,0.209373085976097,0.42010576805581,0.992174179556562,204.553444590976,31.8313698438378,12.0276926153199,1.25297919268051,101.115009921177,42.5753698092677,36.4189021242256,12.9687857592181,9.09406332768543,3.60278112146262,2131.57347902915,0.00640251284110584,143.954741933823,48.6988115714383,0.99960251539206,NA,NA,NA,NA,NA
"PI254557",16,"Afghanistan",12,92.1990447791793,33.5973615154671,60.8669095600155,1.96750782492678,0.835123399839142,5.96970897164521,2.38997239485841,177.585300924601,0.188753953309324,125.693242681868,19.5580022151154,63.3350772692518,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.991993912555985,0.320548048177627,0.209373085976097,0.42010576805581,0.992000049372244,188.170406411503,31.339368178304,11.7418451154969,1.13467329330269,100.725156606816,42.5753698092662,36.4189021242256,12.0236462306448,8.12722393944138,3.60278112146262,1971.03633699154,0.00622746175351558,146.046895697729,48.8727605880034,0.99960251539206,NA,NA,NA,NA,NA
"PI271401",18,"India",12,94.3514693664413,33.9527832356626,62.8813809660549,1.53875379490946,0.83537400204237,5.67197507563178,2.21697781892227,178.725453070689,0.188753953309324,126.508662182926,20.0761084044263,65.0334059082326,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.991901877791145,0.32304579923661,0.209373085976097,0.42010576805581,0.991939696760211,188.696617266431,31.367001740247,11.0795415807063,1.15748680536832,100.263829056171,42.5753698092671,36.4189021242256,12.9445000168083,8.81916841090384,3.60278112146262,1979.90068494399,0.0064006464079862,138.805783501833,50.0599333489204,0.99960251539206,NA,NA,NA,NA,NA
"PI271403",19,"India",12,108.588758014357,35.0150998047745,76.127838695247,2.11130674043782,0.836432889496735,6.63653871440061,2.83573719223541,186.055360891395,0.188753953309324,127.922494169162,20.1332551764207,78.6082500816075,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992144134771454,0.319550415149607,0.209373085976097,0.42010576805581,0.992140127642934,198.954765069821,31.7753186066773,11.4484157427315,1.33225425851864,101.090948802695,42.5753698092677,36.4189021242256,14.8945115399237,11.3260073324274,3.60278112146262,2162.45236760705,0.00706323319629984,139.543691249646,49.2708808542938,0.99960251539206,NA,NA,NA,NA,NA
"PI305413",20,"Iraq",12,91.0959360823708,34.2372418644767,59.0277906958408,1.72636380731517,0.829805052813135,5.50201425324447,2.08356074198589,175.38069026807,0.188753953309324,125.777772647876,19.6910824113581,61.2356672001551,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992042932800335,0.320821104511253,0.209373085976097,0.42010576805581,0.992045302393153,173.278985955377,31.5179483996337,10.4630610885946,1.11138860527596,101.236185506783,42.5753698092656,36.4189021242256,11.7937457449338,7.41600038443091,3.60278112146262,1919.42653756287,0.00773227761170736,137.31679683538,48.8835160236235,0.99960251539206,NA,NA,NA,NA,NA
"PI346313",21,"India",12,109.560892977567,35.0280223567528,76.8841471028488,2.22136422744234,0.834905328659836,6.31147469522353,2.07080032621845,185.745664652714,0.188753953309324,126.647517932411,19.7805019066922,72.755324195855,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992127341057525,0.320768423806599,0.209373085976097,0.42010576805581,0.99212507919386,196.127730661024,31.7450165039139,11.4983201182128,1.32623580718178,100.558815924084,42.5753698092678,36.4189021242256,13.594432249023,9.06885699044529,3.60278112146262,2206.16968526027,0.00690311703124275,140.113607064544,49.6991062139392,0.99960251539206,NA,NA,NA,NA,NA
"PI346315",22,"India",12,85.6198040422593,33.5002607074294,54.5438776965789,1.58311916166621,0.831045165408662,5.3095154871956,2.11419340039894,171.720996858938,0.188753953309324,125.322949552895,19.4878168697108,56.8371387811855,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992001031116938,0.320300198594458,0.209373085976097,0.42010576805581,0.992006037290042,163.09593715028,31.2749125577891,9.94071585872255,1.04914716256103,100.372866645996,42.5753698092659,36.4189021242256,11.2287614890636,7.06062375301293,3.60278112146262,1830.47999929682,0.00713921976103935,135.992217109725,48.0570043701834,0.99960251539206,NA,NA,NA,NA,NA
"PI362322",28,"Korea",12,102.436788936196,35.2874581946888,69.1893414496547,2.56453898454564,0.829004395864554,6.01362623273085,2.56084927461629,179.87821700739,0.188753953309324,127.61024526884,20.0847364895121,72.3907709171303,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992126212579315,0.319620497165972,0.209373085976097,0.42010576805581,0.992123538957535,212.583635421616,31.8489930924942,12.2095068574171,1.26318092589544,100.793149603474,42.5753698092668,36.4189021242256,14.0219785933777,10.2850829166905,3.60278112146262,2065.92895700295,0.0062511759137028,143.901475363127,48.3603253815844,0.99960251539206,NA,NA,NA,NA,NA
"PI362326",30,"Korea",12,102.399108322132,34.5537994737538,82.3258322255051,2.43723634042218,0.823934785920349,6.69192587014302,2.38717304228508,181.304290004704,0.188753953309324,126.126761080692,19.648738225958,78.8888027807407,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992093384811149,0.32898938813882,0.209373085976097,0.42010576805581,0.992092421222546,224.43095382708,31.8823205130406,12.9498052195524,1.36214632757522,100.681848851909,42.5753698092664,36.4189021242256,15.3200046249945,11.2231752726948,3.60278112146262,2237.04743329757,0.0063871623487425,143.644040772059,47.5796504559147,0.99960251539206,NA,NA,NA,NA,NA
"PI362327",31,"Korea",12,96.7536229487714,34.4848507414886,64.8647261123814,2.32729932647092,0.829580154537067,5.95673928459847,2.28951641904163,178.107001257218,0.188753953309324,125.747168827377,19.615522293367,66.5692339911838,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992080150231544,0.324288711404882,0.209373085976097,0.42010576805581,0.992080634951066,191.844832941274,31.6003079180921,11.3503636573014,1.1841602096408,100.563891286776,42.5753698092663,36.4189021242256,12.2824955061841,8.20743280936043,3.60278112146262,2005.48096465088,0.00651091041153639,141.86001652356,49.4287830096159,0.99960251539206,NA,NA,NA,NA,NA
