"Trait","Mean","Median","Min","Max","SD","CV","H2.cullis"
"TRL",159.59,157.91,102.87,225.04,23.06,0.14,0.37
"PRL",38.85,38.94,35.88,41.56,0.97,0.02,0.2
"LRL",121.36,119,71.25,184.04,21.5,0.18,0.37
"MSL",2.41,2.39,1.93,3.14,0.19,0.08,0.18
"LSLPL",1.23,1.23,1.11,1.38,0.05,0.04,0.14
"MAX",9.34,9.25,6.08,12.94,1.24,0.13,0.34
"LED",2.22,2.21,1.72,2.77,0.18,0.08,0.25
"PER",265.3,265.19,216.97,305.57,16.2,0.06,0.2
"DIA",0.2,0.2,0.18,0.22,0.01,0.03,0.14
"VOL",158.18,158.18,158.18,158.18,0,0,NA
"SurfaceArea",23.17,23.16,20.65,25.29,0.71,0.03,0.11
"TRLUpper",106.73,105.79,65.72,160.29,15.73,0.15,0.36
"TRLLower",47.41,46.58,37.66,64.31,4.77,0.1,0.26
"CM",0.25,0.25,0.21,0.29,0.01,0.05,0.27
"CMT",0.18,0.18,0.15,0.19,0.01,0.04,0.18
"CMM",0.43,0.43,0.43,0.43,0,0,0.02
"CMB",0.84,0.84,0.84,0.85,0,0,0.01
"CP",0.4,0.4,0.38,0.43,0.01,0.02,0.14
"CPT",0.22,0.22,0.21,0.22,0,0.01,0.11
"CPM",0.47,0.47,0.47,0.48,0,0,0.02
"CPB",0.87,0.87,0.86,0.88,0,0,0.04
"CVA",305.27,303.08,205.4,423.15,40.05,0.13,0.3
"DEP",35.15,35.23,32.2,37.26,0.88,0.03,0.24
"WID",15.51,15.43,11.06,20.05,1.78,0.11,0.31
"NWA",1.94,1.92,1.24,2.77,0.28,0.14,0.37
"LRB",126.77,126.93,111.93,136.43,4.09,0.03,0.16
"NLR",73.06,73.1,60.98,83.79,3.58,0.05,0.17
"IRB",61.92,62.35,49.97,73.53,3.75,0.06,0.2
"TRArea",19.44,19.14,12.79,27.57,2.65,0.14,0.3
"TRAUpper",13.43,13.11,7.55,20.43,2.23,0.17,0.34
"TRALower",5.68,5.62,4.79,7.15,0.43,0.08,0.18
"RHZO",3303.6,3282.76,2276.59,4419.95,397.76,0.12,0.32
"SOL",0.01,0.01,0.01,0.01,0,0.04,0.23
"SOL2",148.47,148.68,132.71,163.68,4.87,0.03,0.16
"LRA",49.92,49.99,44.15,55.22,2.04,0.04,0.23
"ImageFlag",1,1,1,1,0,0,0.11
"TRL_GR",20.74,20.67,15.12,28.8,2.18,0.11,0.29
