"PI","Entry","Country","Day","TRL","PRL","LRL","MSL","LSLPL","MAX","LED","PER","DIA","VOL","SurfaceArea","TRLUpper","TRLLower","CM","CMT","CMM","CMB","CP","CPT","CPM","CPB","CVA","DEP","WID","NWA","LRB","NLR","IRB","TRArea","TRAUpper","TRALower","RHZO","SOL","SOL2","LRA","ImageFlag"
"PI425388","259","India",12,99.9169584505696,34.9334512402354,66.6723731271727,2.01009721151324,0.832489831524861,5.83171447951947,2.39790263777392,179.856311983929,0.188753953309324,126.065066463046,19.7637889787363,69.2540068101405,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992120049554868,0.320156322499367,0.209373085976097,0.42010576805581,0.992117845683844,186.285754943867,31.7584769790619,10.7928605486299,1.22247677273246,100.713435078742,42.5753698092671,36.4189021242256,12.8240347227756,8.73553389829071,3.60278112146262,2052.83413457902,0.00723922123654761,139.158626497815,48.8489733217814,0.99960251539206
"PI425399","261","India",12,96.2198189948507,33.9488348488549,65.1776250513902,2.57057096277788,0.829495337477261,6.18327217727181,2.51305765537897,178.06912276936,0.188753953309324,125.457664583246,19.5292890873429,65.9969310853785,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992042507151501,0.322585440146267,0.209373085976097,0.42010576805581,0.992044936179002,184.521431946528,31.4525107744853,11.1843880850035,1.17029484267388,100.709047985852,42.575369809266,36.4189021242256,12.5415896100134,8.63405990073747,3.60278112146262,1995.67912983569,0.00686241835620261,140.21723048325,49.0532730203874,0.99960251539206
"PI425413","262","India",12,109.807769592297,35.3584748327788,76.7628954447405,2.4309766512089,0.83196357191047,6.50117782671264,2.53952633992004,184.06693174771,0.188753953309324,126.810354548128,19.9815566975408,78.6482993509385,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992118895059578,0.323410127216192,0.209373085976097,0.42010576805581,0.992116669268477,223.079257349463,31.8797106869379,12.6890437050366,1.35622290695869,101.043008610473,42.5753698092676,36.4189021242256,14.7624508777742,11.030441618165,3.60278112146262,2206.96860198348,0.00654541925758549,142.577687926894,49.8571465145728,0.99960251539206
"PI425418","263","India",12,101.562318747397,34.8169485872295,68.3802617131011,2.15602786755716,0.833241179476789,6.30362449628124,2.42670861894043,182.62945097718,0.188753953309324,125.94431272532,19.7349756081854,71.5157811399639,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992111576775901,0.321838137178607,0.209373085976097,0.42010576805581,0.992110201884477,192.928386877836,31.7099688728884,11.194039703328,1.22989618803827,100.869962188784,42.5753698092669,36.4189021242256,12.841358867852,8.72370657816009,3.60278112146262,2103.74850577397,0.00688566415482633,141.351443396545,49.742060425735,0.99960251539206
"PI425422","265","India",12,104.523227627851,34.8727204409177,71.7359564235883,2.4517525000789,0.832574228642496,6.3370214134038,2.63648561241857,184.23396170967,0.188753953309324,126.161501394953,19.7658436014726,74.6602958012276,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992118009099351,0.323060545322372,0.209373085976097,0.42010576805581,0.992116149276854,218.334539079965,31.7454162391437,12.9689379636662,1.27207982928537,100.665563981454,42.5753698092667,36.4189021242256,13.5739999786423,9.81851459749012,3.60278112146262,2158.34214919046,0.00618519489074381,147.075173539333,48.4685562399539,0.99960251539206
"PI425423","266","India",12,98.7638976856099,34.9871365085626,65.8548675422477,2.21235030529013,0.82971425761018,6.1756219200412,2.56103397599713,178.08940802107,0.188753953309324,126.342097979539,19.7541792631116,68.420471739696,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.9920986391792,0.321453634505878,0.209373085976097,0.42010576805581,0.992097500037469,189.094385312399,31.6281494904226,11.1268339030367,1.18697779338139,100.834097976355,42.5753698092666,36.4189021242256,12.7756367990729,8.75189351207874,3.60278112146262,2027.77152270213,0.00680613475071088,140.599451257951,47.3555598652558,0.99960251539206
"PI425435","269","India",12,108.228783012449,34.5053303743745,77.0754714355934,2.61415141935321,0.8329597977613,6.58323831136763,2.15579091092654,183.929945420049,0.188753953309324,126.537553037711,19.7519652685748,73.0495059087424,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992072015694414,0.326564715812485,0.209373085976097,0.42010576805581,0.992072783847411,199.590885490976,31.6096245035829,12.0748673266812,1.31509891385742,100.813991267885,42.5753698092671,36.4189021242256,13.928053359001,9.45622860754795,3.60278112146262,2184.07445795367,0.00697610927372753,139.58329968478,49.2855621281484,0.99960251539206
"PI425446","270","India",12,92.1656548294825,34.2956663541259,59.8147286969446,1.62208838413053,0.837167204423757,5.89005395306456,2.26033526817504,176.160283290571,0.188753953309324,126.625516448161,19.8599667280032,63.47447663888,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992046511722705,0.322558249247363,0.209373085976097,0.42010576805581,0.992049000046203,187.670962930067,31.5434596920023,11.3332040229339,1.14030765337878,101.113868329295,42.575369809268,36.4189021242256,11.9924342288256,7.87629946257743,3.60278112146262,1942.05929097386,0.00660003768056424,139.136909837877,49.0715010766742,0.99960251539206
"PI425456","271","",12,98.1824988931672,34.1493540537996,66.1011832013353,2.1046773623916,0.831945765260922,6.15179034921107,2.47467366635596,180.292211676578,0.188753953309324,125.847962541723,19.6061135061638,68.3007585715985,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.99206497372295,0.321235688365238,0.209373085976097,0.42010576805581,0.992066623348935,194.266848181598,31.5185909230645,11.665677750412,1.18908760263782,100.794490375314,42.5753698092663,36.4189021242256,12.7010569441546,8.6411862891496,3.60278112146262,2030.75032242957,0.00655005088122817,143.319627446215,49.041159860479,0.99960251539206
"PI425464","273","",12,115.873409628196,34.4772598203487,84.5662749545444,3.93259193712777,0.827073208789774,7.41751019127003,2.47881739756747,187.734891114441,0.188753953309324,127.180824887002,19.8554681234016,81.4412660437341,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992081364298211,0.325944468864763,0.209373085976097,0.42010576805581,0.992081609265647,220.425865109496,31.5085067517722,13.5373078773836,1.40600155992297,100.55085912277,42.5753698092674,36.4189021242256,15.3904496746345,11.5162530189176,3.60278112146262,2294.57967728299,0.00672349071683815,142.286185475795,49.776090465361,0.99960251539206
"PI425481","274","Philippines",12,97.7184017436406,34.4215243402292,65.4419940795734,1.93787915789709,0.827461931475351,5.83029256011651,2.09626148951275,178.771526109231,0.188753953309324,126.280099679101,19.6935161155817,66.5458457011097,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992069603933365,0.320564673354813,0.209373085976097,0.42010576805581,0.992070889292218,187.16958628426,31.5843526024583,10.7119804270938,1.17486125114024,100.701692357173,42.5753698092657,36.4189021242256,12.8449214137204,8.68172446887823,3.60278112146262,2021.90324992262,0.00650186961020136,138.424225287532,48.7680523459804,0.99960251539206
"PI425483","275","India",12,91.3307882266867,33.82285124918,59.639573423143,2.06345778449987,0.823406295557068,5.42026539033663,2.13617846210413,176.477975922245,0.188753953309324,124.77116618578,19.3812172949197,61.6846086849869,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.99212326903854,0.315461036267566,0.209373085976097,0.42010576805581,0.992118519375518,202.241745612714,31.3197922303408,11.7944465440829,1.09383810403557,100.321109148697,42.5753698092644,36.4189021242256,12.0946029222111,8.05112758265393,3.60278112146262,1928.9791289517,0.00581555209962341,142.719732180023,50.2632596164878,0.99960251539206
"PI425484","276","India",12,98.8919550075049,35.6307494978531,64.1808164218403,1.88275266737901,0.830559303692046,5.94470951044186,2.18196587519708,180.516512468974,0.188753953309324,126.307011054326,19.9153707804389,66.8572837842419,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992140071871607,0.320065886210957,0.209373085976097,0.42010576805581,0.99213678443537,199.32911690456,31.9336191107384,11.3462468857569,1.20821248962047,101.232527456543,42.5753698092669,36.4189021242256,13.0465996292911,8.69603949205014,3.60278112146262,2043.21171297284,0.00642582334127229,144.016069323095,48.7787780354726,0.99960251539206
"PI425485","277","India",12,101.673567685596,34.847312446225,69.1538818946883,2.08521529184417,0.832651295214428,6.12600909165799,2.23671932234748,182.55393490501,0.188753953309324,125.674650386541,19.6642505377676,69.5021623523859,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992103824324471,0.32378255181203,0.209373085976097,0.42010576805581,0.992102661414733,192.916440173876,31.7227338114683,11.2596839241425,1.24019204941532,100.668099612351,42.5753698092669,36.4189021242256,12.9642404338249,8.80360690580039,3.60278112146262,2096.67624816791,0.00687476951840874,139.972663771099,48.6514509342811,0.99960251539206
"PI425487","278","India",12,82.6326298889129,33.5664008638035,50.6694713882211,1.41366089325641,0.825893262830857,5.09926654056682,1.83946607185506,170.767141821795,0.188753953309324,124.825796362888,19.3616943346444,54.3670658661692,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.991951834425901,0.316813810340003,0.209373085976097,0.42010576805581,0.991960458200579,156.96982644934,31.3473717836933,9.13062733420273,1.02291010921763,100.065520203432,42.5753698092646,36.4189021242256,10.7557414386693,6.58199428673526,3.60278112146262,1789.823075301,0.00729409464328641,135.11433679564,48.1111331403364,0.99960251539206
"PI425503","279","India",12,83.7208045376273,34.4378255367641,50.9481840747253,1.49978438765301,0.83434641539329,5.130379777242,2.27958370199814,169.538013818067,0.188753953309324,127.825646751585,19.9458612507045,56.1220277049426,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992066847021701,0.314282942515223,0.209373085976097,0.42010576805581,0.992067108680087,160.997355068593,31.516900716198,9.53906531766003,1.01792018362913,101.35860723203,42.5753698092667,36.4189021242256,10.749898037555,6.63705479744613,3.60278112146262,1770.80655901484,0.00726710850039888,140.040743282038,46.2116444626908,0.99960251539206
"PI425507","282","India",12,93.3592790429676,36.552479962127,56.8599182900986,1.38636608576752,0.839817281789143,5.27032816616194,1.9709044852201,181.86461795082,0.188753953309324,127.813246909241,20.4077507326132,61.1971012837764,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992301729037416,0.316659598375539,0.209373085976097,0.42010576805581,0.992289011506832,185.810228868583,32.2241268869896,10.3986880048403,1.12994391420551,101.938443171726,42.575369809269,36.4189021242256,12.3245464554281,7.56653545870052,3.60278112146262,1976.26929706627,0.00656706401821446,144.50196110015,51.1410094512503,0.99960251539206
"PI425509","284","India",12,91.9880070089361,34.3412095842833,59.5719999032613,1.83797431492689,0.827606269307119,5.57264509135445,2.10729253106772,176.272108086013,0.188753953309324,125.257327162192,19.5391107547048,62.1356366677619,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992090304048698,0.321062440037312,0.209373085976097,0.42010576805581,0.992089680720845,173.480527061655,31.5775822542915,10.0911107315386,1.12440072738262,100.825574967695,42.5753698092657,36.4189021242256,11.8934959232016,7.65514404312735,3.60278112146262,1934.41368523457,0.0073448324952275,138.069659879764,48.6099916735044,0.99960251539206
"PI425512","287","Philippines",12,99.5730791634532,35.0079070174624,66.244930689904,2.23033683561325,0.829580309479714,5.96941873385049,2.4187336050271,180.46431052044,0.188753953309324,126.819048888944,20.0080191023558,68.9719615899931,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992208320157262,0.320797698034133,0.209373085976097,0.42010576805581,0.992200441552483,199.367258198408,31.729125135984,11.3498556826682,1.2309119323468,100.660200434002,42.5753698092665,36.4189021242256,13.7834789527551,9.73172598725017,3.60278112146262,2044.84670866977,0.00652342932310631,143.368192106031,49.0089115930311,0.99960251539206
"PI425513","288","Philippines",12,98.0192339240414,34.8379513657576,64.5575316084986,2.62428004653794,0.826638632807354,6.02884200644093,2.3203081497175,178.542770041773,0.188753953309324,126.171488516454,19.8588896435654,67.9112522806727,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992102593486313,0.323015333256343,0.209373085976097,0.42010576805581,0.99210181153263,188.833860169889,31.7316670436096,11.0199594729908,1.20661065612101,100.565232058736,42.5753698092664,36.4189021242256,12.9576513397886,8.757617346351,3.60278112146262,2017.18646903158,0.00701453212483531,140.221802589723,48.4838817519817,0.99960251539206
"PI425515","289","Philippines",12,94.0660798745322,34.6312409382985,61.4683600025027,1.87248074947845,0.829755143074361,5.77670918998589,2.2860345666238,176.534193820219,0.188753953309324,125.591540723365,19.5520066703779,63.2366157776414,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992052848624916,0.320658432910691,0.209373085976097,0.42010576805581,0.992055119452992,181.061868737522,31.4753894067737,10.7574530111492,1.13515458039094,100.41775865708,42.5753698092661,36.4189021242256,11.9696202924794,7.78870700610537,3.60278112146262,1951.65078120359,0.00695049647025487,140.112220925245,48.6889842881419,0.99960251539206
"PI425517","290","Thailand",12,108.886476517514,35.6080669783166,75.2780869302634,2.11310779576205,0.835223604143452,6.38385342366328,2.53584848284485,184.325991593086,0.188753953309324,126.766209296488,20.0217020225255,76.9964593796472,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992119562531385,0.32204124036265,0.209373085976097,0.42010576805581,0.992117083724048,207.850399625155,31.9608426850345,12.0158588538778,1.33170358222906,101.309090845602,42.5753698092683,36.4189021242256,12.9354050942811,8.9471476644089,3.60278112146262,2167.77891428309,0.00689428075361166,140.112891565687,49.3199931780905,0.99960251539206
"PI425522","293","United Kingdom",12,93.6790371180405,34.1711104320606,62.2476715417793,2.02583223819853,0.830802611803928,5.83185528518467,2.47100111398608,178.113771075555,0.188753953309324,126.030622166527,19.6335253411842,64.989114675039,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992087559852166,0.317169040588236,0.209373085976097,0.42010576805581,0.992087469736962,191.150704250602,31.514673352114,11.6546259314869,1.13550028893484,100.658026222392,42.5753698092657,36.4189021242256,12.2479302277926,8.34152586156693,3.60278112146262,1961.49596334537,0.00620177061843281,144.454032234042,49.3987003787374,0.99960251539206
"PI425527","295","United Kingdom",12,97.9784110523356,35.3216296078684,65.3138541882031,1.85681937947625,0.832074263405304,5.84271591212535,2.28129198850767,180.3846265562,0.188753953309324,126.199850545301,19.8093280674405,67.0575448287972,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992150662378042,0.322530031532624,0.209373085976097,0.42010576805581,0.992146303259435,192.837482838542,31.8744579838372,11.0883634943836,1.18557657138497,101.147457909871,42.5753698092667,36.4189021242256,12.4856825409839,8.3563422111018,3.60278112146262,2042.33197250905,0.00648308367676315,142.044117516947,49.5070990337535,0.99960251539206
"PI425528","296","United Kingdom",12,101.184009475903,34.1126142524643,69.4781950527775,2.29810929172839,0.832862311876269,6.19118171993389,2.59887923775338,181.509316018032,0.188753953309324,127.210343517994,19.7492202039802,71.1619234929018,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992057451363846,0.321265806362273,0.209373085976097,0.42010576805581,0.992059678808582,207.352788968772,31.4881480176624,12.8803823317317,1.22169990852033,101.065432020665,42.5753698092664,36.4189021242256,13.0917181587212,9.06996567214541,3.60278112146262,2071.45069116291,0.00633942275840599,145.619992385518,47.5631659690813,0.99960251539206
"PI425534","299","United Kingdom",12,96.6576354660427,34.4667889738244,64.5970002360046,1.82755879328151,0.835880661523181,6.12450965365017,2.39170710896725,180.569978096378,0.188753953309324,126.938834488614,19.8665610665851,67.0720437885711,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992077871977209,0.320201518538618,0.209373085976097,0.42010576805581,0.99207872988147,183.894509261241,31.5503491942595,10.9928924365006,1.17976963751562,101.25489545196,42.5753698092676,36.4189021242256,12.3913430294724,8.24176547710266,3.60278112146262,2023.62891020262,0.00702855042030356,139.630928732513,49.0401918984623,0.99960251539206
"PI425537","302","United Kingdom",12,81.9038726306276,34.0583825780429,52.4115967879888,1.25024373420723,0.834562822322533,5.25711802461659,1.90738271603815,169.967806695998,0.188753953309324,124.827615402763,19.2568970306769,53.8712079673311,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992024471798576,0.317879565140389,0.209373085976097,0.42010576805581,0.992027750325226,152.83043793522,31.4617368150909,9.04202711975957,1.00017985066155,100.017054878015,42.5753698092653,36.4189021242256,10.6563107314136,6.50599755650417,3.60278112146262,1772.04124985949,0.00788150708237766,131.897555938315,47.5472118658597,0.99960251539206
"PI425540","303","United Kingdom",12,96.7441777964358,34.3454234455619,64.618566161785,2.0471722537276,0.832283988162604,6.06221519755309,2.54803155085773,180.139507978403,0.188753953309324,126.357585813489,19.7454462758078,67.5934176824086,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.99205968161133,0.313763625683397,0.209373085976097,0.42010576805581,0.992061017189192,182.672212593334,31.5213433278957,11.032881048076,1.16436430425732,100.641741351581,42.5753698092664,36.4189021242256,12.4148150632105,8.47386217285605,3.60278112146262,2000.79020466723,0.0069007839262034,140.37863613366,48.5658241471657,0.99960251539206
"PI425544","304","Korea",12,114.627449011766,35.4160183888427,81.8069928993385,2.46527672486404,0.833514262734665,6.52601640833579,2.51927015425681,185.318919349131,0.188753953309324,127.921606982405,20.1542143288245,82.4813528488322,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992127398992757,0.325378209891777,0.209373085976097,0.42010576805581,0.992122299682225,236.455088135414,31.8955065334706,13.4040522929028,1.41353755325909,100.834956512092,42.5753698092678,36.4189021242256,15.161790163375,11.3365615221715,3.60278112146262,2274.20335933286,0.00632075331314311,143.242808879991,49.6191463028385,0.99960251539206
"PI425551","307","Korea",12,97.1870156143429,34.7446512695008,64.4311013889121,2.50815709219845,0.8273192052411,5.95522242334281,2.44900630660472,179.217442519752,0.188753953309324,125.976571701359,19.7748900354009,67.6862316541526,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992099504856441,0.318451632643396,0.209373085976097,0.42010576805581,0.992098645221637,202.754641621613,31.6181458823336,12.1292373303471,1.16923525444532,101.008930821051,42.5753698092661,36.4189021242256,13.3208673563064,9.39980136326081,3.60278112146262,2004.38286439893,0.00607700414317778,147.765127680637,48.6167773575418,0.99960251539206
"PI425552","308","Korea",12,127.100712764023,35.0512761235004,74.5889500884189,2.82819178885151,0.829135253762779,7.17270979617072,2.4688240329485,186.025721336375,0.188753953309324,128.15065316276,20.0045500085989,88.7563140026943,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992124471440049,0.329794122262587,0.209373085976097,0.42010576805581,0.99212211419793,236.927300944031,31.7940718956217,13.7022486704891,1.5338533118863,100.845720999452,42.5753698092673,36.4189021242256,16.4710134181895,12.4268881813725,3.60278112146262,2420.97166597005,0.0066410181214438,142.330584119481,48.475114372316,0.99960251539206
"PI425557","310","Korea",12,103.550515033745,34.6204355809862,71.7758709513653,3.00607740007984,0.827710721911045,6.26763190912294,3.00874304925726,180.25566362758,0.188753953309324,127.757453388476,19.9277749472824,75.7835827422592,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992056955542556,0.318993655651619,0.209373085976097,0.42010576805581,0.992058016639418,210.922356439742,31.6773492033431,12.8468718921044,1.2686228913938,100.492285104512,42.5753698092664,36.4189021242256,13.8033684689984,10.1969020284077,3.60278112146262,2082.91996937577,0.00639761574963386,143.574305108852,49.2736594932442,0.99960251539206
"PI425569","311","Korea",12,116.142662592026,35.6585372474872,82.7616702815269,2.43521716193844,0.835013302279831,6.96832174183445,3.01084548888347,186.938209956156,0.188753953309324,128.482950325498,20.1824601685075,85.4590279828495,26.874177133407,0.202859531781399,0.167503621575584,0.392125749017677,0.992157227234954,0.322521458221958,0.209373085976097,0.42010576805581,0.992152870863788,196.707546759979,31.8598218998492,11.8483626287809,1.39926613501471,100.868635244766,42.5753698092681,36.4189021242256,16.2573710975705,9.6728327085235,3.60278112146262,2266.5909081573,0.00624248525385174,140.891330196706,48.5432223603165,0.99960251539206
