"PI","Country","LRADescending","PRL","SOL2","TRL_GR","SUM","DTRanked"
"PI363204","",37,12,-213,5,-159,1
"PI264686","Philippines",42,3,-195,1,-149,2
"PI425271","Pakistan",4,15,-125,17,-89,4
"PI425551","Korea",104,11,-207,3,-89,4
"PI369768","Philippines",14,88,-219,51,-66,6
"PI425580","Korea",16,83,-190,25,-66,6
"PI425160","Australia",10,43,-124,8,-63,7
"PI377231","India",134,1,-220,24,-61,8
"PI425485","India",83,19,-212,52,-58,9
"PI425593","",20,92,-177,10,-55,10
"PI201869","Iran",84,39,-205,32,-50,11
"PI377363","India",19,66,-178,48,-45,12
"PI213012","India",21,108,-201,45,-27,13
"CommChk1","",34,40,-218,122,-22,14
"PI363485","India",47,101,-193,40,-5,15
"PI425585","Korea",118,22,-154,11,-3,16
"PI425512","Philippines",48,72,-130,19,9,17
"PI183458","India",27,16,-47,15,11,18
"PI425814","Korea",46,32,-88,27,17,19
"PI377241","India",126,45,-196,49,24,20
"PI425811","Korea",112,69,-165,18,34,21
"PI363416","India",114,52,-156,30,40,22
"PI377039","India",22,46,-210,185,43,24
"PI377283","India",152,51,-203,43,43,24
"PI377197","India",79,41,-158,86,48,25
"PI363494","India",45,54,-139,95,55,26
"PI377147","Iran",13,79,-55,28,65,28
"PI425504","India",80,64,-137,58,65,28
"PI425274","India",56,85,-157,82,66,29
"PI363341","India",25,17,-53,84,73,31
"PI425570","Korea",52,150,-208,79,73,31
"PI426118","India",197,20,-175,36,78,32
"PI363592","India",75,90,-142,57,80,33
"PI363377","India",5,37,-49,88,81,34
"PI363763","India",29,144,-191,103,85,35
"PI363766","India",15,62,-128,138,87,36
"PI425518","United Kingdom",140,28,-166,92,94,37
"PI377022","United States",32,73,-14,6,97,38
"PI425548","Korea",178,129,-217,9,99,39
"PI377338","India",72,6,-41,64,101,40
"PI164726","India",78,169,-215,72,104,41
"PI425557","Korea",38,154,-152,65,105,42
"CommChk2","",102,71,-136,70,107,43
"PI425546","Korea",186,24,-151,50,109,44
"AVMU0201","Taiwan",217,48,-186,34,113,45
"PI425522","United Kingdom",184,27,-101,4,114,46
"PI368275","India",109,70,-85,22,116,47
"PI363566","India",73,35,-87,97,118,48
"PI377276","India",132,42,-114,59,119,49
"PI364225","India",203,57,-200,66,126,50
"PI377266","India",58,21,-65,113,127,52
