"PI","Country","ScavengerRanked","DTRanked"
"PI163110","India",213,94
"PI164770","India",47,168
"PI183458","India",34,18
"PI183936","India",83,212
"PI201869","Iran",13,11
"PI213012","India",98,13
"PI254557","Afghanistan",121,202
"PI264686","Philippines",2,2
"PI271401","India",11,182
"PI346315","India",15,97
"PI362316","Korea",6,133
"PI362326","Korea",61,195
"PI362327","Korea",80,216
"PI363147","",160,127
"PI363152","",151,160
"PI363204","",70,1
"PI363271","India",235,124
"PI363272","",31,63
"PI363301","India",50,120
"PI363302","Russia",206,171
"PI363315","India",136,168
"PI363324","India",9,55
"PI363326","India",172,163
"PI363332","India",210,79
"PI363341","India",113,31
"PI363354","India",152,92
"PI363374","India",172,188
"PI363380","India",226,204
"PI363391","India",215,222
"PI363459","India",203,138
"PI363475","India",180,165
"PI363485","India",109,15
"PI363493","India",159,159
"PI363494","India",150,26
"PI363506","India",108,90
"PI363516","India",191,194
"PI363566","India",208,48
"PI363585","India",168,154
"PI363591","India",134,133
"PI363592","India",65,33
"PI363596","India",105,152
"PI363604","India",193,214
"PI363605","India",195,203
"PI363635","India",233,166
"PI363647","India",73,138
"PI363668","India",214,84
"PI363678","India",217,178
"PI363696","India",92,136
"PI363699","India",26,220
"PI363782","India",82,114
"PI363823","India",141,205
"PI364007",NA,62,80
"PI364028","India",114,198
"PI364047","India",131,61
"PI364119","India",56,76
"PI364213","India",48,144
"PI364218","India",106,143
"PI364224","India",212,88
"PI364225","India",76,50
"PI368275","India",100,47
"PI368277","India",129,125
"PI368329","India",157,77
"PI376849","Thailand",105,99
"PI376923","Philippines",25,54
"PI377022","United States",24,38
"PI377147","Iran",55,28
"PI377193","India",124,135
"PI377197","India",173,25
"PI377202","India",137,171
"PI377203","India",223,90
"PI377207","India",197,57
"PI377228","India",161,183
"PI377232","India",116,107
"PI377233","India",230,198
"PI377235","India",118,69
"PI377236","India",225,157
"PI377242","India",117,82
"PI377244","India",155,105
"PI377259","India",195,121
"PI377261","India",175,93
"PI377262","India",230,116
"PI377263","India",138,153
"PI377265","India",216,108
"PI377267","India",77,199
"PI377268","India",193,130
"PI377271","India",149,72
"PI377281","India",97,85
"PI377283","India",71,24
"PI377286","India",63,178
"PI377288","India",221,223
"PI377298","India",184,59
"PI377308","India",136,220
"PI377312","India",166,221
"PI377338","India",189,40
"PI377349","India",211,165
"PI385297","India",218,181
"PI425136","India",128,189
"PI425138","India",49,149
"PI425169","Australia",64,111
"PI425192","Australia",169,184
"PI425201","Australia",200,52
"PI425254","India",164,73
"PI425259","India",111,88
"PI425261","Philippines",75,128
"PI425271","Pakistan",28,4
"PI425274","India",175,29
"PI425388","India",78,66
"PI425418","India",16,174
"PI425423","India",88,82
"PI425456","",123,218
"PI425463","",74,62
"PI425503","India",199,187
"PI425508","India",188,208
"PI425509","India",228,119
"PI425512","Philippines",158,17
"PI425518","United Kingdom",53,37
"PI425520","United Kingdom",113,84
"PI425527","United Kingdom",38,149
"PI425546","Korea",70,44
"PI425548","Korea",181,39
"PI425551","Korea",12,4
"PI425552","Korea",4,115
"PI425557","Korea",23,42
"PI425575","Korea",219,175
"PI425580","Korea",130,6
"PI425586","Korea",179,190
"PI425646","Afghanistan",27,76
"PI425725","Afghanistan",41,126
"PI425766","India",91,113
"PI425803","Korea",95,64
"PI425811","Korea",123,21
"PI425814","Korea",9,19
"PI425822","Philippines",33,193
"PI425823","Philippines",119,215
"PI425832","Philippines",201,185
"PI425840","Pakistan",149,109
"PI425841","Pakistan",85,102
"PI425842","Pakistan",183,156
"PI425965","Iran",183,124
"PI426029","Philippines",40,145
"PI426098","India",163,141
"PI426149","India",227,56
