"Country","Pheno.Cluster","n"
"Afgh",1,2
"Afgh",2,3
"Afgh",3,1
"Aus",1,2
"Aus",2,4
"India",1,74
"India",2,78
"India",3,5
"Other",1,18
"Other",2,21
"Other",3,9
"Paki",1,2
"Paki",2,2
"Thai",1,1
"Thai",2,3
"Thai",3,1
"UK",1,3
"UK",2,4
"US",2,2
